title,vote_average,popularity,genres_clean
The Lovers,4.8,2.418535,"['action', 'adventure', 'sciencefiction', 'romance']"
47 Ronin,5.9,41.796339,"['drama', 'action', 'adventure', 'fantasy']"
Captain America: The Winter Soldier,7.6,72.225265,"['action', 'adventure', 'sciencefiction']"
Shrek Forever After,6.0,44.041186,"['comedy', 'adventure', 'fantasy', 'animation', 'family']"
Tomorrowland,6.2,130.311355,"['adventure', 'family', 'mystery', 'sciencefiction']"
Big Hero 6,7.8,203.73459,"['adventure', 'family', 'animation', 'action', 'comedy']"
Wreck-It Ralph,7.1,62.341073,"['family', 'animation', 'comedy', 'adventure']"
The Polar Express,6.4,47.323228,"['adventure', 'animation', 'family', 'fantasy']"
Independence Day: Resurgence,4.9,48.775723,"['action', 'adventure', 'sciencefiction']"
How to Train Your Dragon,7.5,67.263269,"['fantasy', 'adventure', 'animation', 'family']"
Terminator 3: Rise of the Machines,5.9,69.405188,"['action', 'thriller', 'sciencefiction']"
Guardians of the Galaxy,7.9,481.098624,"['action', 'sciencefiction', 'adventure']"
Interstellar,8.1,724.247784,"['adventure', 'drama', 'sciencefiction']"
Inception,8.1,167.58371,"['action', 'thriller', 'sciencefiction', 'mystery', 'adventure']"
Shin Godzilla,6.5,9.476999,"['action', 'adventure', 'drama', 'horror', 'sciencefiction']"
The Hobbit: An Unexpected Journey,7.0,108.849621,"['adventure', 'fantasy', 'action']"
The Fast and the Furious,6.6,6.909942,"['action', 'crime', 'thriller']"
The Curious Case of Benjamin Button,7.3,60.269279,"['fantasy', 'drama', 'thriller', 'mystery', 'romance']"
X-Men: First Class,7.1,3.195174,"['action', 'sciencefiction', 'adventure']"
The Hunger Games: Mockingjay - Part 2,6.6,127.284427,"['action', 'adventure', 'sciencefiction']"
The Sorcerer's Apprentice,5.8,35.580815,"['fantasy', 'adventure', 'action', 'comedy', 'drama']"
Poseidon,5.5,21.133748,"['adventure', 'action', 'drama', 'thriller']"
Alice Through the Looking Glass,6.5,56.268916,['fantasy']
Shrek the Third,6.0,42.986467,"['fantasy', 'adventure', 'animation', 'comedy', 'family']"
Warcraft,6.3,63.148529,"['action', 'adventure', 'fantasy']"
Terminator Genisys,5.8,202.042635,"['sciencefiction', 'action', 'thriller', 'adventure']"
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,49.661984,"['adventure', 'family', 'fantasy']"
Pearl Harbor,6.6,34.20669,"['history', 'romance', 'war']"
Transformers,6.6,25.468493,"['adventure', 'sciencefiction', 'action']"
Alexander,5.6,39.019229,"['war', 'history', 'action', 'adventure', 'drama', 'romance']"
Harry Potter and the Order of the Phoenix,7.4,78.144395,"['adventure', 'fantasy', 'family', 'mystery']"
Harry Potter and the Goblet of Fire,7.5,101.250416,"['adventure', 'fantasy', 'family']"
Hancock,6.2,56.758411,"['fantasy', 'action']"
I Am Legend,6.9,70.867401,"['drama', 'horror', 'action', 'thriller', 'sciencefiction']"
Charlie and the Chocolate Factory,6.7,53.905592,"['adventure', 'comedy', 'family', 'fantasy']"
Ratatouille,7.5,65.677399,"['animation', 'comedy', 'family', 'fantasy']"
Batman Begins,7.5,115.040024,"['action', 'crime', 'drama']"
Madagascar: Escape 2 Africa,6.2,44.141021,"['family', 'animation']"
Night at the Museum: Battle of the Smithsonian,5.9,81.781591,"['adventure', 'fantasy', 'action', 'comedy', 'family']"
X-Men Origins: Wolverine,6.2,5.954334,"['adventure', 'action', 'thriller', 'sciencefiction']"
The Matrix Revolutions,6.4,73.313918,"['adventure', 'action', 'thriller', 'sciencefiction']"
Frozen,7.3,165.125366,"['animation', 'adventure', 'family']"
The Matrix Reloaded,6.7,70.78591,"['adventure', 'action', 'thriller', 'sciencefiction']"
Thor: The Dark World,6.8,99.499595,"['action', 'adventure', 'fantasy']"
Mad Max: Fury Road,7.2,434.278564,"['action', 'adventure', 'sciencefiction', 'thriller']"
Angels & Demons,6.5,67.447636,"['thriller', 'mystery']"
Thor,6.6,86.493424,"['adventure', 'fantasy', 'action']"
Bolt,6.3,41.845878,"['animation', 'family', 'adventure', 'comedy']"
G-Force,5.1,26.710398,"['fantasy', 'action', 'adventure', 'family', 'comedy']"
Wrath of the Titans,5.5,44.927635,['adventure']
Dark Shadows,5.7,50.306728,"['comedy', 'fantasy']"
Mission: Impossible - Rogue Nation,7.1,114.522237,"['action', 'adventure', 'thriller']"
The Wolfman,5.5,21.214571,"['drama', 'horror', 'thriller']"
Bee Movie,5.7,29.332905,"['family', 'animation', 'adventure', 'comedy']"
Kung Fu Panda 2,6.7,51.247321,"['animation', 'family']"
The Last Airbender,4.7,33.769336,"['action', 'adventure', 'family', 'fantasy']"
Mission: Impossible III,6.5,63.079003,"['adventure', 'action', 'thriller']"
White House Down,6.4,39.004588,"['action', 'drama', 'thriller']"
Mars Needs Moms,5.5,12.362599,"['adventure', 'animation', 'family']"
Flushed Away,6.0,22.550135,"['adventure', 'animation', 'comedy', 'family']"
Pan,5.9,48.03528,"['adventure', 'family', 'fantasy']"
Mr. Peabody & Sherman,6.7,38.73494,"['animation', 'adventure', 'family']"
Troy,6.9,66.803149,"['adventure', 'drama', 'war']"
Madagascar 3: Europe's Most Wanted,6.4,44.989192,"['animation', 'family']"
Die Another Day,5.8,54.159392,"['adventure', 'action', 'thriller']"
Ghostbusters,5.3,66.21806,"['action', 'fantasy', 'comedy']"
Armageddon,6.4,58.485967,"['action', 'thriller', 'sciencefiction', 'adventure']"
Men in Black II,6.0,91.332849,"['action', 'adventure', 'comedy', 'sciencefiction']"
Beowulf,5.5,35.601665,"['adventure', 'action', 'animation']"
Kung Fu Panda 3,6.7,56.747978,"['action', 'adventure', 'animation', 'comedy', 'family']"
Mission: Impossible - Ghost Protocol,6.8,77.77477,"['action', 'thriller', 'adventure']"
Rise of the Guardians,7.1,61.788035,"['fantasy', 'animation', 'family']"
Fun with Dick and Jane,5.9,25.159168,['comedy']
The Last Samurai,7.3,52.341226,"['drama', 'action', 'war', 'history']"
Exodus: Gods and Kings,5.6,101.599427,"['adventure', 'drama', 'action']"
Star Trek,7.4,73.616808,"['sciencefiction', 'action', 'adventure']"
Spider-Man,6.8,82.502566,"['fantasy', 'action']"
How to Train Your Dragon 2,7.6,100.21391,"['fantasy', 'action', 'adventure', 'animation', 'comedy', 'family']"
Gods of Egypt,5.3,56.257249,['fantasy']
Stealth,4.9,17.88953,['action']
Watchmen,7.0,64.798873,"['action', 'mystery', 'sciencefiction']"
Lethal Weapon 4,6.3,24.855701,"['action', 'adventure', 'comedy', 'crime', 'thriller']"
Hulk,5.3,34.981698,"['drama', 'action', 'sciencefiction']"
G.I. Joe: Retaliation,5.4,59.325589,"['adventure', 'action', 'sciencefiction', 'thriller']"
Sahara,5.7,21.605568,"['action', 'adventure', 'comedy', 'drama', 'mystery']"
Final Fantasy: The Spirits Within,5.9,26.074908,"['adventure', 'action', 'animation', 'fantasy', 'sciencefiction', 'thriller']"
Captain America: The First Avenger,6.6,74.506246,"['action', 'adventure', 'sciencefiction']"
The World Is Not Enough,6.0,39.604363,"['adventure', 'action', 'thriller']"
Master and Commander: The Far Side of the World,6.9,36.973031,['adventure']
The Twilight Saga: Breaking Dawn - Part 2,6.1,99.687084,"['adventure', 'fantasy', 'drama', 'romance']"
Happy Feet Two,5.8,17.7735,"['animation', 'comedy', 'family']"
The Incredible Hulk,6.1,62.898336,"['sciencefiction', 'action', 'adventure']"
The BFG,6.0,44.19092,"['adventure', 'family', 'fantasy']"
The Revenant,7.3,100.635882,"['western', 'drama', 'adventure', 'thriller']"
Turbo,6.1,44.765377,"['animation', 'family']"
Rango,6.6,29.91353,"['animation', 'comedy', 'family', 'western', 'adventure']"
Penguins of Madagascar,6.5,84.366984,"['family', 'animation', 'adventure', 'comedy']"
The Bourne Ultimatum,7.3,45.381501,"['action', 'drama', 'mystery', 'thriller']"
Kung Fu Panda,6.9,84.689648,"['adventure', 'animation', 'family', 'comedy']"
Ant-Man,7.0,120.09361,"['sciencefiction', 'action', 'adventure']"
The Hunger Games: Catching Fire,7.4,76.310119,"['adventure', 'action', 'sciencefiction']"
Home,6.8,63.473086,"['fantasy', 'comedy', 'animation', 'sciencefiction', 'family']"
War of the Worlds,6.2,48.572726,"['adventure', 'thriller', 'sciencefiction']"
Bad Boys II,6.3,38.068736,"['adventure', 'action', 'comedy', 'thriller', 'crime']"
Puss in Boots,6.4,20.678787,"['action', 'adventure', 'animation', 'family', 'fantasy']"
Salt,6.2,48.829437,"['action', 'mystery', 'thriller']"
Noah,5.6,46.115758,"['drama', 'adventure']"
The Adventures of Tintin,6.7,89.938296,"['adventure', 'animation', 'mystery']"
Harry Potter and the Prisoner of Azkaban,7.7,79.679601,"['adventure', 'fantasy', 'family']"
Australia,6.3,28.840997,['drama']
After Earth,5.0,42.840582,"['sciencefiction', 'action', 'adventure']"
Dinosaur,6.2,26.548594,"['animation', 'family']"
Night at the Museum: Secret of the Tomb,6.1,115.597753,"['adventure', 'comedy', 'fantasy', 'family']"
Megamind,6.7,68.757242,"['animation', 'action', 'comedy', 'family', 'sciencefiction']"
Harry Potter and the Philosopher's Stone,7.5,109.984351,"['adventure', 'fantasy', 'family']"
R.I.P.D.,5.4,39.448066,"['fantasy', 'action', 'comedy', 'crime']"
Pirates of the Caribbean: The Curse of the Black Pearl,7.5,271.972889,"['adventure', 'fantasy', 'action']"
The Hunger Games: Mockingjay - Part 1,6.6,206.227151,"['sciencefiction', 'adventure', 'thriller']"
The Da Vinci Code,6.5,45.313197,"['thriller', 'mystery']"
Rio 2,6.3,42.40024,"['animation', 'adventure', 'comedy', 'family']"
X2,6.8,2.871739,"['adventure', 'action', 'sciencefiction', 'thriller']"
Fast Five,7.1,7.255718,"['action', 'thriller', 'crime']"
Sherlock Holmes: A Game of Shadows,7.0,81.499621,"['adventure', 'action', 'crime', 'mystery']"
Clash of the Titans,5.6,47.686442,"['adventure', 'fantasy', 'action']"
Total Recall,7.1,43.129703,"['action', 'adventure', 'sciencefiction']"
The 13th Warrior,6.4,27.220157,"['adventure', 'fantasy', 'action']"
The Bourne Legacy,6.0,90.33681,"['action', 'thriller']"
Batman & Robin,4.2,50.073575,"['action', 'crime', 'fantasy']"
How the Grinch Stole Christmas,6.2,45.419668,"['family', 'comedy', 'fantasy']"
The Day After Tomorrow,6.2,41.380094,"['action', 'adventure', 'sciencefiction', 'thriller']"
Mission: Impossible II,5.9,54.931334,"['adventure', 'action', 'thriller']"
The Perfect Storm,6.2,25.752118,['drama']
Fantastic 4: Rise of the Silver Surfer,5.4,60.810723,"['adventure', 'fantasy', 'action', 'thriller']"
Life of Pi,7.2,51.328145,"['adventure', 'drama', 'action']"
Ghost Rider,5.2,46.834704,"['thriller', 'action', 'fantasy', 'horror']"
Jason Bourne,5.9,62.641286,"['action', 'thriller']"
Charlie's Angels: Full Throttle,5.2,33.616115,"['action', 'adventure', 'comedy']"
Prometheus,6.3,68.889395,"['sciencefiction', 'adventure', 'mystery']"
Stuart Little 2,5.4,27.990284,"['family', 'adventure', 'animation', 'comedy']"
Elysium,6.4,67.33767,"['sciencefiction', 'action', 'drama', 'thriller']"
The Chronicles of Riddick,6.3,27.835436,"['action', 'sciencefiction']"
RoboCop,5.7,66.757869,"['action', 'sciencefiction']"
Speed Racer,5.7,17.060695,"['action', 'family', 'sciencefiction']"
How Do You Know,4.9,11.137655,"['comedy', 'drama', 'romance']"
Knight and Day,5.9,44.906918,"['action', 'comedy']"
Oblivion,6.4,67.698004,"['action', 'sciencefiction', 'adventure', 'mystery']"
Star Wars: Episode III - Revenge of the Sith,7.1,44.108427,"['sciencefiction', 'adventure', 'action']"
Star Wars: Episode II - Attack of the Clones,6.4,43.987061,"['adventure', 'action', 'sciencefiction']"
"Monsters, Inc.",7.5,106.815545,"['animation', 'comedy', 'family']"
The Wolverine,6.3,15.953444,"['action', 'sciencefiction', 'adventure', 'fantasy']"
Star Wars: Episode I - The Phantom Menace,6.3,54.035265,"['adventure', 'action', 'sciencefiction']"
The Croods,6.8,64.183321,"['adventure', 'animation', 'comedy', 'family', 'fantasy']"
Asterix at the Olympic Games,5.0,20.344364,"['fantasy', 'adventure', 'comedy', 'family']"
Windtalkers,5.8,18.714197,"['drama', 'action', 'history', 'war']"
The Huntsman: Winter's War,6.0,60.467984,"['action', 'adventure', 'drama']"
Teenage Mutant Ninja Turtles,5.8,143.350376,"['sciencefiction', 'action', 'adventure', 'fantasy', 'comedy']"
Gravity,7.3,110.153618,"['sciencefiction', 'thriller', 'drama']"
Dante's Peak,5.7,16.90444,"['action', 'adventure', 'thriller']"
Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,39.873791,"['fantasy', 'action', 'adventure', 'comedy']"
Fantastic Four,4.4,38.126095,"['action', 'adventure', 'sciencefiction']"
Night at the Museum,6.3,48.780039,"['action', 'adventure', 'comedy', 'family', 'fantasy']"
San Andreas,6.0,100.412364,"['action', 'drama', 'thriller']"
Tomorrow Never Dies,6.0,42.887121,"['adventure', 'action', 'thriller']"
The Patriot,6.8,23.657284,"['drama', 'history', 'war', 'action']"
Ocean's Twelve,6.4,76.840712,"['thriller', 'crime']"
Mr. & Mrs. Smith,6.5,44.635452,"['action', 'comedy', 'drama', 'thriller']"
Insurgent,6.2,103.718387,"['adventure', 'sciencefiction', 'thriller']"
The Aviator,7.0,45.616098,['drama']
Gulliver's Travels,4.9,22.845143,['comedy']
The Green Hornet,5.5,31.703608,"['action', 'crime', 'comedy']"
300: Rise of an Empire,6.1,71.510596,"['action', 'war']"
The Smurfs,5.5,36.65422,"['animation', 'family', 'adventure', 'comedy', 'fantasy']"
Home on the Range,5.7,19.625972,"['animation', 'family']"
Allegiant,5.9,86.105615,"['adventure', 'sciencefiction']"
Real Steel,6.6,37.195046,"['action', 'sciencefiction', 'drama']"
The Smurfs 2,5.5,32.473628,"['fantasy', 'family', 'comedy', 'animation']"
Speed 2: Cruise Control,4.1,23.336875,"['action', 'adventure', 'thriller']"
Ender's Game,6.6,45.94834,"['sciencefiction', 'action', 'adventure']"
Live Free or Die Hard,6.4,48.93337,"['action', 'thriller']"
The Lord of the Rings: The Fellowship of the Ring,8.0,138.049577,"['adventure', 'fantasy', 'action']"
Around the World in 80 Days,5.7,22.643776,"['action', 'adventure', 'comedy']"
Ali,6.7,18.866672,['drama']
The Cat in the Hat,4.9,18.251129,"['comedy', 'fantasy', 'family']"
"I, Robot",6.7,95.914473,"['action', 'sciencefiction']"
Kingdom of Heaven,6.6,44.490453,"['drama', 'action', 'adventure', 'history', 'war']"
Stuart Little,5.8,30.475297,"['animation', 'fantasy', 'family', 'comedy']"
The Princess and the Frog,6.7,62.479574,"['romance', 'family', 'animation', 'music']"
The Martian,7.6,167.93287,"['drama', 'adventure', 'sciencefiction']"
The Island,6.5,37.68056,"['action', 'thriller', 'sciencefiction', 'adventure']"
Town & Country,3.7,1.004579,"['comedy', 'romance']"
Gone in Sixty Seconds,6.1,52.995628,"['action', 'crime', 'thriller']"
Gladiator,7.9,95.301296,"['action', 'drama', 'adventure']"
Minority Report,7.1,65.948959,"['action', 'thriller', 'sciencefiction', 'mystery']"
Harry Potter and the Chamber of Secrets,7.4,132.397737,"['adventure', 'fantasy', 'family']"
Casino Royale,7.3,88.935165,"['adventure', 'action', 'thriller']"
Planet of the Apes,5.6,51.188633,"['thriller', 'sciencefiction', 'action', 'adventure']"
Terminator 2: Judgment Day,7.7,101.74155,"['action', 'thriller', 'sciencefiction']"
Public Enemies,6.5,33.691694,"['history', 'crime', 'drama']"
American Gangster,7.4,42.361215,"['drama', 'crime']"
True Lies,6.8,38.729418,"['action', 'thriller']"
The Taking of Pelham 1 2 3,6.2,40.597856,"['thriller', 'drama', 'crime']"
Little Fockers,5.4,32.389353,"['comedy', 'romance']"
The Other Guys,6.1,24.399642,"['action', 'comedy', 'crime']"
Eraser,5.6,24.507987,"['action', 'drama', 'mystery', 'thriller']"
Django Unchained,7.8,82.121691,"['drama', 'western']"
The Hunchback of Notre Dame,6.8,46.727941,"['drama', 'animation', 'family']"
The Emperor's New Groove,7.2,51.113717,"['adventure', 'animation', 'comedy', 'family', 'fantasy']"
The Expendables 2,6.1,53.732892,"['action', 'adventure', 'thriller']"
National Treasure,6.4,58.849256,"['adventure', 'action', 'thriller', 'mystery']"
Eragon,4.9,30.863434,"['fantasy', 'action', 'adventure', 'family']"
Where the Wild Things Are,6.4,31.586215,"['family', 'fantasy']"
Epic,6.4,36.711378,"['animation', 'adventure', 'family', 'fantasy']"
The Tourist,6.0,41.426678,"['action', 'thriller', 'romance']"
End of Days,5.5,20.652943,"['action', 'fantasy', 'horror', 'mystery']"
Blood Diamond,7.3,52.792678,"['drama', 'thriller', 'action']"
The Wolf of Wall Street,7.9,95.007934,"['crime', 'drama', 'comedy']"
Batman Forever,5.2,48.205606,"['action', 'crime', 'fantasy']"
Starship Troopers,6.7,58.782359,"['adventure', 'action', 'thriller', 'sciencefiction']"
Cloud Atlas,6.6,73.872343,"['drama', 'sciencefiction']"
Legend of the Guardians: The Owls of Ga'Hoole,6.5,37.321848,"['animation', 'adventure', 'family', 'fantasy']"
Catwoman,4.2,32.271938,"['action', 'crime']"
Hercules,5.6,76.842247,"['action', 'adventure']"
Treasure Planet,7.2,38.924136,"['adventure', 'animation', 'family', 'fantasy', 'sciencefiction']"
Land of the Lost,5.3,19.38841,"['adventure', 'comedy', 'sciencefiction']"
The Expendables 3,6.1,61.025639,"['action', 'adventure', 'thriller']"
Point Break,5.5,33.507289,"['action', 'crime', 'thriller']"
Son of the Mask,3.6,17.815595,"['fantasy', 'comedy', 'family', 'adventure']"
In the Heart of the Sea,6.5,50.767332,"['thriller', 'drama', 'adventure', 'action', 'history']"
The Adventures of Pluto Nash,4.4,12.092241,"['action', 'comedy', 'sciencefiction']"
Green Zone,6.4,30.254021,"['war', 'action', 'adventure', 'drama', 'thriller']"
The Peanuts Movie,6.5,34.308098,['animation']
The Spanish Prisoner,7.1,3.091077,"['crime', 'drama', 'mystery', 'thriller']"
The Mummy Returns,6.0,41.862983,"['adventure', 'action', 'fantasy']"
Gangs of New York,7.1,46.160048,"['drama', 'history', 'crime']"
The Flowers of War,7.1,12.516546,"['drama', 'history', 'war']"
Surf's Up,5.9,23.230851,"['animation', 'comedy', 'family']"
The Stepford Wives,5.4,19.224754,"['action', 'comedy', 'sciencefiction']"
Black Hawk Down,7.2,44.455166,"['action', 'history', 'war']"
The Campaign,5.6,16.460356,['comedy']
The Fifth Element,7.3,109.528572,"['adventure', 'fantasy', 'action', 'thriller', 'sciencefiction']"
Sex and the City 2,5.4,18.325897,"['comedy', 'drama', 'romance']"
The Road to El Dorado,7.0,37.054554,"['adventure', 'animation', 'comedy', 'family']"
Ice Age: Continental Drift,6.2,65.229868,"['animation', 'comedy', 'adventure', 'family']"
Cinderella,6.7,101.187052,"['romance', 'fantasy', 'family', 'drama']"
The Lovely Bones,6.6,29.257137,"['fantasy', 'drama']"
Finding Nemo,7.6,85.688789,"['animation', 'family']"
The Lord of the Rings: The Return of the King,8.1,123.630332,"['adventure', 'fantasy', 'action']"
The Lord of the Rings: The Two Towers,8.0,106.914973,"['adventure', 'fantasy', 'action']"
Seventh Son,5.2,63.628459,"['adventure', 'fantasy']"
Lara Croft: Tomb Raider,5.7,41.498631,"['adventure', 'fantasy', 'action', 'thriller']"
Transcendence,5.9,58.991388,"['thriller', 'sciencefiction', 'drama', 'mystery']"
Jurassic Park III,5.7,1.859364,"['adventure', 'action', 'thriller', 'sciencefiction']"
Rise of the Planet of the Apes,7.0,138.433168,"['thriller', 'action', 'drama', 'sciencefiction']"
The Spiderwick Chronicles,6.3,21.436682,"['adventure', 'family', 'fantasy']"
A Good Day to Die Hard,5.2,65.402595,"['action', 'thriller']"
The Alamo,5.8,10.660441,"['western', 'history', 'war']"
The Incredibles,7.4,77.817571,"['action', 'adventure', 'animation', 'family']"
Cutthroat Island,5.7,7.029308,"['action', 'adventure']"
Percy Jackson & the Olympians: The Lightning Thief,6.0,61.121717,"['adventure', 'fantasy', 'family']"
Men in Black,6.9,104.121555,"['action', 'adventure', 'comedy', 'sciencefiction']"
Toy Story 2,7.3,73.575118,"['animation', 'comedy', 'family']"
Unstoppable,6.3,37.698465,"['action', 'thriller']"
Rush Hour 2,6.4,35.814765,"['action', 'comedy', 'crime', 'thriller']"
What Lies Beneath,6.3,15.835672,"['drama', 'horror', 'mystery', 'thriller']"
Cloudy with a Chance of Meatballs,6.5,46.781182,"['animation', 'comedy', 'family']"
Ice Age: Dawn of the Dinosaurs,6.5,69.457898,"['animation', 'comedy', 'family', 'adventure']"
The Secret Life of Walter Mitty,7.0,43.348022,"['adventure', 'comedy', 'drama', 'fantasy']"
Charlie's Angels,5.6,40.20395,"['action', 'adventure', 'comedy', 'crime', 'thriller']"
The Departed,7.9,63.429157,"['drama', 'thriller', 'crime']"
Mulan,7.6,67.427755,"['animation', 'family', 'adventure']"
Tropic Thunder,6.5,43.192048,"['action', 'comedy']"
The Girl with the Dragon Tattoo,7.2,47.651083,"['thriller', 'crime', 'mystery', 'drama']"
Die Hard: With a Vengeance,6.9,51.881077,"['action', 'thriller']"
